#TYPE Selected.System.String
"HostName","FQDN","Status","IPv4","IPv6","MAC","Ports","Services","OS","Script"
"<no-hostname>","<no-fullname>","up","10.57.14.191","<no-ipv6>","<no-mac>","open:tcp:80:http","<no-services>","Microsoft Windows Vista SP3/SP1 or Windows XP SP1/SP2 <94%-accuracy>
PDA Microsoft Windows PocketPC/CE <99%-accuracy>
WAP Microsoft embedded <97%-accuracy>
general purpose Microsoft Windows Vista <95%-accuracy>
general purpose Microsoft Windows XP <95%-accuracy>
general purpose Microsoft Windows Me <95%-accuracy>
general purpose Microsoft Windows PocketPC/CE <95%-accuracy>
media device Microsoft embedded <95%-accuracy>
general purpose Microsoft Windows 2008 <94%-accuracy>
authentication server Juniper Windows Vista <92%-accuracy>
terminal HP Windows PocketPC/CE <90%-accuracy>
specialized Symbol Windows PocketPC/CE <90%-accuracy>
print server AXIS embedded <89%-accuracy>
media device Motorola Windows PocketPC/CE <89%-accuracy>
media device Swisscom embedded <89%-accuracy>
media device T-Home embedded <89%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.57.14.212","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4050/4200/4600/5100 (JetDirect) printer <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.213","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.215","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.216","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet P3005 or CP4005 printer <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.217","<no-ipv6>","<no-mac>","open:tcp:80:http
open:tcp:515:printer
open:tcp:631:ipp
filtered:tcp:5432:postgres
open:tcp:9100:jetdirect","<no-services>","Linux 2.4.28 - 2.4.30 <100%-accuracy>
general purpose Linux Linux 2.4.X <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.218","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.219","<no-ipv6>","<no-mac>","open:tcp:7:echo
open:tcp:9:discard
open:tcp:19:chargen
open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:111:rpcbind
open:tcp:427:svrloc
open:tcp:513:login
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","Xerox Phaser 6350DT printer <100%-accuracy>
broadband router Ambit embedded <100%-accuracy>
printer Xerox embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.220","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.221","<no-ipv6>","<no-mac>","open:tcp:7:echo
open:tcp:9:discard
open:tcp:19:chargen
open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:111:rpcbind
open:tcp:427:svrloc
open:tcp:513:login
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","Xerox Phaser 6350DT printer <100%-accuracy>
broadband router Ambit embedded <100%-accuracy>
printer Xerox embedded <100%-accuracy>","<no-script>"
